# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
196 -257.871 141.464 -144.6
197 -229.746 146.527 -107.297
198 -196.103 154.461 -70.5363
199 -158.971 163.931 -34.7415
200 -120.479 174.095 -0.315379
201 -82.9342 185.125 32.3144
202 -48.815 197.518 61.8429
203 -20.3592 212.088 87.003
204 0.341482 229.148 105.587
205 11.728 248.107 115.201
206 13.3185 267.08 114.239
207 5.76996 283.157 101.864
208 -9.19119 292.43 78.6762
209 -29.0436 291.008 46.2192
210 -51.6897 275.331 7.06317
211 -74.9256 242.736 -36.0998
212 -97.3668 192.581 -79.7546
213 -118.207 126.475 -120.731
214 -137.428 47.6562 -156.004
215 -155.399 -38.8963 -183.457
216 -172.898 -127.665 -202.242
217 -189.992 -213.089 -212.667
218 -205.711 -290.548 -216.1
219 -218.31 -356.549 -214.285
220 -225.218 -408.849 -208.594
221 -223.388 -446.891 -200.045
222 -210.826 -471.482 -188.981
223 -186.693 -484.873 -175.031
224 -151.336 -489.52 -157.645
225 -106.743 -488.281 -135.794
226 -55.7986 -483.766 -109.33
227 -1.83928 -477.869 -78.3624
228 51.5588 -471.682 -44.0857
229 101.486 -466.295 -8.35065
230 145.662 -462.13 25.8931
231 182.372 -459.66 56.2763
232 211.003 -458.655 80.4788
233 231.42 -458.713 96.7757
234 243.547 -458.453 104.453
235 247.603 -455.583 103.851
236 243.916 -447.737 96.2585
237 233.233 -432.642 83.9607
238 217.312 -409.44 69.2981
239 198.544 -378.528 54.7885
240 180.258 -341.84 42.3897
241 165.452 -302.405 33.3284
242 157.087 -263.565 28.657
243 156.676 -228.041 28.4599
244 164.044 -197.946 33.0693
245 177.678 -174.616 42.4758
246 194.625 -158.595 56.2379
247 211.839 -150.197 73.4553
248 226.462 -149.531 92.7474
249 236.606 -156.287 112.386
250 242.007 -169.513 130.258
251 243.407 -187.216 143.948
252 242.67 -206.904 151.389
253 241.846 -226.085 150.715
254 242.989 -241.84 140.785
255 247.809 -251.923 121.602
256 257.095 -254.941 94.3791
257 270.91 -250.431 61.5892
258 288.629 -238.829 26.1969
259 308.52 -221.374 -8.78398
260 328.715 -199.766 -40.7805
261 346.659 -175.983 -67.586
262 359.95 -152.097 -87.899
263 367.17 -130.414 -101.389
264 367.307 -112.832 -107.906
265 360.406 -100.918 -107.996
266 347.375 -95.6803 -102.95
267 329.336 -97.1282 -93.9983
268 307.525 -104.472 -83.0243
269 282.845 -116.327 -72.1261
270 256.269 -131.387 -63.7147
271 228.723 -148.103 -59.5308
272 200.969 -165.142 -61.2996
273 173.728 -180.83 -69.5441
274 147.494 -192.922 -83.399
275 122.803 -198.975 -101.01
276 99.6485 -196.95 -119.547
277 78.8563 -185.662 -135.959
278 60.5023 -165.376 -146.804
279 44.9286 -137.464 -149.25
280 32.151 -104.221 -141.066
281 21.5024 -67.844 -121.341
282 12.3498 -30.6226 -90.3753
283 4.46353 5.95697 -49.8352
284 -2.22338 40.997 -2.56461
285 -6.50766 74.5934 47.9444
286 -6.21694 107.297 98.5536
287 0.2569 139.554 146.192
288 14.4568 171.853 189.334
289 36.2064 203.433 226.957
290 64.0514 233.407 259.021
291 94.827 260.214 284.929
292 124.787 282.262 304.22
293 150.43 298.77 315.938
294 169.29 310.045 319.057
295 180.22 317.107 312.801
296 183.284 321.589 297.079
297 179.598 325.11 272.77
298 170.921 328.862 242.289
299 159.518 333.094 208.94
300 147.265 337.652 177.125
301 136.049 342.13 151.28
302 127.927 345.122 135.336
303 124.631 345.608 131.663
304 127.068 343.2 141.052
305 136.063 337.759 161.74
306 151.866 330.456 190.532
307 174.383 322.502 222.831
308 203.288 315.193 254.124
309 237.661 308.884 280.33
310 276.509 303.104 298.697
311 318.111 296.244 307.949
312 360.884 285.531 309.368
313 403.296 267.837 305.458
314 443.256 240.809 300.131
315 478.693 203.215 297.562
316 507.008 155.715 300.577
317 526 100.983 310.804
318 533.232 43.1258 327.471
319 527.525 -13.3852 348.685
320 508.623 -64.6668 371.178
321 478.549 -107.549 391.192
322 440.731 -140.667 405.425
323 399.892 -163.069 411.292
324 361.284 -174.936 407.303
325 330.123 -177.899 393.439
326 309.931 -173.914 371.493
327 302.554 -165.829 344.169
328 308.152 -156.226 315.424
329 325.638 -146.93 289.151
330 352.234 -138.595 268.535
331 384.089 -130.813 255.019
332 416.539 -122.205 247.881
333 444.515 -111.024 245.028
334 462.607 -95.9 242.567
335 466.295 -76.2052 236.197
336 452.349 -52.1494 221.795
337 419.218 -25.7593 196.427
338 368.44 -0.2286 158.872
339 303.212 20.8455 109.598
340 228.868 33.9826 50.5265
341 152.092 36.6818 -14.9061
342 79.3906 28.0409 -82.8301
343 16.0522 8.12761 -149.378
344 -33.8606 -22.007 -211.012
345 -68.41 -61.71 -265.596
346 -86.6267 -110.017 -312.136
347 -89.2031 -166.269 -350.879
348 -77.7487 -229.211 -382.914
349 -54.5759 -296.594 -409.81
350 -22.7833 -365.104 -433.53
351 14.0714 -430.804 -455.174
352 52.3419 -489.352 -475.243
353 88.6021 -537.138 -493.579
354 120.832 -571.628 -509.218
355 147.399 -591.727 -521.808
356 167.967 -597.836 -531.013
357 182.357 -591.522 -537.739
358 191.026 -575.8 -543.579
359 194.348 -553.329 -550.237
360 193.193 -527.076 -558.628
361 188.504 -499.501 -568.418
362 181.997 -472.014 -578.101
363 176.16 -444.881 -583.839
364 174.037 -418.021 -580.761
365 178.727 -390.647 -563.17
366 192.585 -362.475 -526.375
367 216.802 -333.357 -467.578
368 250.868 -304.128 -386.693
369 292.421 -276.182 -287.355
370 337.431 -250.528 -175.628
371 381.724 -228.171 -59.7397
372 421.231 -209.421 52.333
373 452.473 -193.573 153.997
374 473.451 -179.567 240.951
375 484.461 -165.945 311.405
376 487.505 -151.023 365.114
377 485.863 -132.721 403.151
378 483.658 -109.138 426.573
379 483.846 -79.2171 436.81
380 488.248 -42.8397 435.69
381 496.812 -1.33686 424.775
382 507.85 43.3609 406.876
383 518.95 88.6778 384.907
384 527.547 132.114 361.807
385 531.39 171.617 340.103
386 529.331 205.417 321.27
387 521.242 232.423 305.389
388 508.739 252.041 292.088
389 494.091 264.046 279.394
390 480.214 268.485 265.615
391 469.556 265.9 248.905
392 464.054 257.616 228.784
393 464.667 245.199 205.231
394 471.339 231.015 179.82
395 483.319 217.177 154.894
