# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
193 -503.95 -90.9655 -43.5139
194 -567.918 -88.2739 -73.2335
195 -623.841 -85.6819 -97.4326
196 -668.266 -81.8576 -115.297
197 -699.32 -76.0034 -127.254
198 -716.86 -67.9916 -135.043
199 -722.371 -58.1103 -141.102
200 -718.141 -47.3943 -148.272
201 -707.163 -36.4654 -158.992
202 -692.564 -26.4942 -174.445
203 -677.232 -17.9668 -195.228
204 -663.74 -11.3677 -221.184
205 -653.766 -7.0299 -251.34
206 -647.813 -5.08728 -285.032
207 -645.092 -5.64306 -321.277
208 -643.435 -8.65879 -359.728
209 -639.53 -14.1044 -399.326
210 -630.724 -21.8825 -439.331
211 -614.142 -31.8587 -479.144
212 -588.796 -43.8118 -517.783
213 -554.641 -57.4189 -554.23
214 -512.65 -72.7683 -587.723
215 -464.775 -89.7606 -617.887
216 -413.73 -107.867 -644.46
217 -362.343 -126.596 -667.137
218 -313.544 -145.513 -685.716
219 -270.309 -164.126 -700.166
220 -234.968 -182.287 -709.785
221 -209.209 -200.036 -713.994
222 -193.997 -218.271 -712.236
223 -188.817 -236.856 -704.286
224 -191.828 -256.039 -690.253
225 -200.263 -275.411 -670.485
226 -210.744 -294.087 -646.099
227 -219.96 -310.594 -617.884
228 -225.82 -323.553 -587.767
229 -227.264 -331.355 -557.027
230 -224.401 -333.002 -527.099
231 -217.792 -327.925 -498.901
232 -208.138 -316.8 -472.474
233 -196.371 -300.81 -446.625
234 -182.922 -281.617 -419.781
235 -168.424 -260.973 -389.892
236 -153.54 -240.48 -355.484
237 -140.052 -220.735 -315.386
238 -129.551 -201.914 -269.679
239 -124.588 -183.728 -218.96
240 -126.974 -165.871 -164.317
241 -138.39 -147.924 -107.006
242 -158.978 -130.213 -47.986
243 -187.914 -113.166 11.4958
244 -223.003 -97.4966 70.6923
245 -261.138 -84.3641 128.603
246 -299.032 -74.4221 184.065
247 -333.085 -67.8311 235.831
248 -360.698 -64.7446 282.369
249 -379.924 -64.7329 322.343
250 -389.701 -67.4705 354.447
251 -390.304 -72.1716 377.902
252 -382.98 -78.6838 392.731
253 -369.891 -87.0632 400.096
254 -353.978 -97.2006 401.572
255 -337.801 -109.017 399.582
256 -324.042 -122.227 397.236
257 -314.76 -135.446 397.094
258 -311.277 -147.16 401.994
259 -314.316 -155.162 413.396
260 -324.175 -157.655 431.775
261 -340.148 -152.765 456.393
262 -361.011 -139.374 485.338
263 -385.26 -117.132 515.494
264 -410.821 -85.9477 543.134
265 -435.468 -46.9391 564.525
266 -456.935 -1.21291 576.755
267 -472.992 49.0158 577.824
268 -482.235 101.747 567.001
269 -483.286 154.78 544.775
270 -475.794 206.036 512.749
271 -459.942 254.045 473.217
272 -436.593 297.513 428.725
273 -407.264 335.512 381.808
274 -374.131 367.186 334.966
275 -339.691 391.627 290.19
276 -307.145 407.788 249.477
277 -279.124 415.095 214.999
278 -257.965 412.947 188.562
279 -245.407 401.78 171.761
280 -242.176 382.605 165.491
281 -247.879 357.206 170.094
282 -261.428 327.424 184.68
283 -280.477 295.187 207.399
284 -302.863 262.18 235.579
285 -325.489 229.812 266.216
286 -345.615 199.584 296.656
287 -361.044 173.045 324.572
288 -369.966 151.746 348.204
289 -371.312 136.952 366.706
290 -364.515 129.413 379.074
291 -349.958 129.429 384.557
292 -327.989 136.798 382.916
293 -299.872 150.477 373.724
294 -267.542 169.048 357.214
295 -233.891 190.949 334.167
