# Chunk-averaged data for fix gmap and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 331.00000000000296
  190 0.25 94.75 0 0
  191 0.25 95.25 0 0
  192 0.25 95.75 0 0
  193 0.25 96.25 0 0
  194 0.25 96.75 0 0
  195 0.25 97.25 0 0
  196 0.25 97.75 0 0
  197 0.25 98.25 0 0
  198 0.25 98.75 0 0
  199 0.25 99.25 0 0
  200 0.25 99.75 0 0
  201 0.25 100.25 0 0
  202 0.25 100.75 0 0
  203 0.25 101.25 0 0
  204 0.25 101.75 0 0
  205 0.25 102.25 0 0
  206 0.25 102.75 0 0
  207 0.25 103.25 0 0
  208 0.25 103.75 0 0
  209 0.25 104.25 0 0
  210 0.25 104.75 0 0
  211 0.25 105.25 0 0
  212 0.25 105.75 0 0
  213 0.25 106.25 0 0
  214 0.25 106.75 0 0
  215 0.25 107.25 0 0
  216 0.25 107.75 0 0
  217 0.25 108.25 0 0
  218 0.25 108.75 0 0
  219 0.25 109.25 0 0
  220 0.25 109.75 0 0
  221 0.25 110.25 0 0
  222 0.25 110.75 0 0
  223 0.25 111.25 0 0
  224 0.25 111.75 0 0
  225 0.25 112.25 0 0
  226 0.25 112.75 0 0
  227 0.25 113.25 0 0
  228 0.25 113.75 0 0
  229 0.25 114.25 0 0
  230 0.25 114.75 0 0
  231 0.25 115.25 0 0
  232 0.25 115.75 0 0
  233 0.25 116.25 0 0
  234 0.75 0.25 0 0
  235 0.75 0.75 0 0
  236 0.75 1.25 0 0
  237 0.75 1.75 0 0
  238 0.75 2.25 0 0
  239 0.75 2.75 0 0
  240 0.75 3.25 0 0
  241 0.75 3.75 0 0
  242 0.75 4.25 0 0
  243 0.75 4.75 0 0
  244 0.75 5.25 0 0
  245 0.75 5.75 0 0
  246 0.75 6.25 0.0018 0.000803387
  247 0.75 6.75 0.0104 0.00464179
  248 0.75 7.25 0.0062 0.00276722
  249 0.75 7.75 0.0066 0.00294575
  250 0.75 8.25 0.011 0.00490959
  251 0.75 8.75 0.0082 0.00365988
  252 0.75 9.25 0.0072 0.00321355
  253 0.75 9.75 0.0102 0.00455253
  254 0.75 10.25 0.0536 0.0239231
  255 0.75 10.75 0.1448 0.064628
  256 0.75 11.25 0.1208 0.0539162
  257 0.75 11.75 0.094 0.0419547
  258 0.75 12.25 0.0696 0.0310643
  259 0.75 12.75 0.0692 0.0308858
  260 0.75 13.25 0.0692 0.0308858
  261 0.75 13.75 0.069 0.0307965
  262 0.75 14.25 0.0676 0.0301717
  263 0.75 14.75 0.0646 0.0288327
  264 0.75 15.25 0.0576 0.0257084
  265 0.75 15.75 0.0616 0.0274937
  266 0.75 16.25 0.0598 0.0266903
  267 0.75 16.75 0.0556 0.0248157
  268 0.75 17.25 0.0526 0.0234768
  269 0.75 17.75 0.0566 0.0252621
  270 0.75 18.25 0.0488 0.0217807
  271 0.75 18.75 0.055 0.0245479
  272 0.75 19.25 0.0538 0.0240124
  273 0.75 19.75 0.0442 0.0197276
  274 0.75 20.25 0.043 0.019192
  275 0.75 20.75 0.0374 0.0166926
  276 0.75 21.25 0.0382 0.0170497
  277 0.75 21.75 0.0306 0.0136576
  278 0.75 22.25 0.02 0.00892653
  279 0.75 22.75 0.017 0.00758755
  280 0.75 23.25 0.0092 0.0041062
  281 0.75 23.75 0.0068 0.00303502
  282 0.75 24.25 0.0066 0.00294575
  283 0.75 24.75 0.004 0.00178531
  284 0.75 25.25 0.0014 0.000624857
  285 0.75 25.75 0.0008 0.000357061
  286 0.75 26.25 0.0004 0.000178531
  287 0.75 26.75 0.0002 8.92653e-05
  288 0.75 27.25 0.0006 0.000267796
  289 0.75 27.75 0 0
  290 0.75 28.25 0 0
  291 0.75 28.75 0 0
  292 0.75 29.25 0 0
  293 0.75 29.75 0 0
  294 0.75 30.25 0 0
  295 0.75 30.75 0 0
  296 0.75 31.25 0 0
  297 0.75 31.75 0 0
  298 0.75 32.25 0 0
  299 0.75 32.75 0 0
  300 0.75 33.25 0 0
  301 0.75 33.75 0 0
  302 0.75 34.25 0 0
  303 0.75 34.75 0 0
  304 0.75 35.25 0 0
  305 0.75 35.75 0 0
  306 0.75 36.25 0 0
  307 0.75 36.75 0 0
  308 0.75 37.25 0 0
  309 0.75 37.75 0 0
  310 0.75 38.25 0 0
  311 0.75 38.75 0 0
  312 0.75 39.25 0 0
  313 0.75 39.75 0 0
  314 0.75 40.25 0 0
  315 0.75 40.75 0 0
  316 0.75 41.25 0 0
  317 0.75 41.75 0 0
  318 0.75 42.25 0 0
  319 0.75 42.75 0 0
  320 0.75 43.25 0 0
  321 0.75 43.75 0 0
  322 0.75 44.25 0 0
  323 0.75 44.75 0 0
  324 0.75 45.25 0 0
  325 0.75 45.75 0 0
  326 0.75 46.25 0 0
  327 0.75 46.75 0 0
  328 0.75 47.25 0 0
  329 0.75 47.75 0 0
  330 0.75 48.25 0 0
  331 0.75 48.75 0 0
  332 0.75 49.25 0 0
  333 0.75 49.75 0 0
  334 0.75 50.25 0 0
  335 0.75 50.75 0 0
  336 0.75 51.25 0 0
  337 0.75 51.75 0 0
  338 0.75 52.25 0 0
  339 0.75 52.75 0 0
  340 0.75 53.25 0 0
  341 0.75 53.75 0 0
  342 0.75 54.25 0 0
  343 0.75 54.75 0 0
  344 0.75 55.25 0 0
  345 0.75 55.75 0 0
  346 0.75 56.25 0 0
  347 0.75 56.75 0 0
  348 0.75 57.25 0 0
  349 0.75 57.75 0 0
  350 0.75 58.25 0 0
  351 0.75 58.75 0 0
  352 0.75 59.25 0 0
  353 0.75 59.75 0 0
  354 0.75 60.25 0 0
  355 0.75 60.75 0 0
  356 0.75 61.25 0 0
  357 0.75 61.75 0 0
  358 0.75 62.25 0 0
  359 0.75 62.75 0 0
  360 0.75 63.25 0 0
  361 0.75 63.75 0 0
  362 0.75 64.25 0 0
  363 0.75 64.75 0 0
  364 0.75 65.25 0 0
  365 0.75 65.75 0 0
  366 0.75 66.25 0 0
  367 0.75 66.75 0 0
  368 0.75 67.25 0 0
  369 0.75 67.75 0 0
  370 0.75 68.25 0 0
  371 0.75 68.75 0 0
  372 0.75 69.25 0 0
  373 0.75 69.75 0 0
  374 0.75 70.25 0 0
  375 0.75 70.75 0 0
  376 0.75 71.25 0 0
  377 0.75 71.75 0 0
  378 0.75 72.25 0 0
  379 0.75 72.75 0 0
  380 0.75 73.25 0 0
  381 0.75 73.75 0 0
  382 0.75 74.25 0 0
  383 0.75 74.75 0 0
  384 0.75 75.25 0 0
  385 0.75 75.75 0 0
  386 0.75 76.25 0 0
  387 0.75 76.75 0 0
  388 0.75 77.25 0 0
  389 0.75 77.75 0 0
  390 0.75 78.25 0 0
  391 0.75 78.75 0 0
  392 0.75 79.25 0 0
  393 0.75 79.75 0 0
  394 0.75 80.25 0 0
  395 0.75 80.75 0 0
  396 0.75 81.25 0 0
  397 0.75 81.75 0 0
  398 0.75 82.25 0 0
  399 0.75 82.75 0 0
  400 0.75 83.25 0 0
  401 0.75 83.75 0 0
  402 0.75 84.25 0 0
  403 0.75 84.75 0 0
  404 0.75 85.25 0 0
  405 0.75 85.75 0 0
  406 0.75 86.25 0 0
