# Time-averaged data for fix qavg
# TimeStep c_sqb c_sqt
1000 -0.282937 0.282937
2000 -0.0606626 0.0606626
3000 0.195016 -0.195016
4000 0.167897 -0.167897
5000 -0.20266 0.20266
6000 -0.184898 0.184898
7000 -0.321331 0.321331
8000 -0.534128 0.534128
9000 -0.153088 0.153088
10000 -0.112821 0.112821
11000 0.43496 -0.43496
12000 0.499077 -0.499077
13000 0.171085 -0.171085
14000 -0.480067 0.480067
15000 -0.00926875 0.00926875
16000 -0.260695 0.260695
17000 -0.564269 0.564269
18000 -0.587332 0.587332
19000 -0.694728 0.694728
20000 -0.562839 0.562839
21000 -0.440733 0.440733
22000 -0.205343 0.205343
23000 0.134453 -0.134453
24000 -0.125311 0.125311
25000 -0.125099 0.125099
26000 -0.200432 0.200432
27000 -0.569923 0.569923
28000 -0.0606596 0.0606596
29000 -0.155804 0.155804
30000 -0.524203 0.524203
31000 -0.472652 0.472652
32000 -0.102543 0.102543
33000 -0.490421 0.490421
34000 -0.546417 0.546417
35000 -0.549377 0.549377
