# Time-averaged data for fix qavg
# TimeStep c_sqb c_sqt
1000 0.0340208 -0.0340208
2000 -0.02702 0.02702
3000 0.181584 -0.181584
4000 0.0883351 -0.0883351
5000 0.273427 -0.273427
6000 0.312416 -0.312416
7000 0.191471 -0.191471
8000 0.0502865 -0.0502865
9000 0.115392 -0.115392
10000 -0.0528165 0.0528165
11000 -0.138299 0.138299
12000 0.160093 -0.160093
13000 0.322458 -0.322458
14000 0.344392 -0.344392
15000 0.109728 -0.109728
16000 0.0497634 -0.0497634
17000 -0.130821 0.130821
18000 -0.0299937 0.0299937
19000 -0.472534 0.472534
20000 -0.178761 0.178761
21000 -0.141143 0.141143
22000 -0.121954 0.121954
23000 -0.178013 0.178013
24000 -0.131985 0.131985
25000 -0.14132 0.14132
26000 -0.162628 0.162628
27000 -0.282943 0.282943
28000 -0.475126 0.475126
29000 0.238498 -0.238498
30000 -0.10057 0.10057
31000 -0.0724599 0.0724599
32000 -0.374095 0.374095
33000 -0.512693 0.512693
34000 -0.274754 0.274754
35000 0.0354325 -0.0354325
36000 0.0142372 -0.0142372
37000 -0.0112783 0.0112783
38000 0.0762633 -0.0762633
39000 0.0643215 -0.0643215
40000 -0.130992 0.130992
41000 0.0245397 -0.0245397
42000 0.0055947 -0.0055947
43000 -0.311242 0.311242
44000 0.0361772 -0.0361772
45000 -0.120573 0.120573
46000 -0.305009 0.305009
47000 0.00144215 -0.00144215
48000 -0.0877085 0.0877085
49000 -0.650653 0.650653
50000 -0.437319 0.437319
51000 -0.325907 0.325907
52000 -0.561688 0.561688
53000 -0.678814 0.678814
54000 -0.681905 0.681905
55000 -0.51911 0.51911
56000 -0.111458 0.111458
57000 0.158167 -0.158167
58000 0.19121 -0.19121
59000 0.335813 -0.335813
60000 0.348449 -0.348449
