# Chunk-averaged data for fix dmap and group liq
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 15316.000000000104
  155 0.25 77.25 0.764 1.30438
  156 0.25 77.75 0.7928 1.45309
  157 0.25 78.25 0.7124 1.23184
  158 0.25 78.75 0.6862 1.18972
  159 0.25 79.25 0.6404 0.981893
  160 0.25 79.75 0.6548 1.14872
  161 0.25 80.25 0.6702 1.30647
  162 0.25 80.75 0.678 1.31317
  163 0.25 81.25 0.7054 1.20745
  164 0.25 81.75 0.7348 1.35556
  165 0.25 82.25 0.7066 1.44087
  166 0.25 82.75 0.7382 1.4488
  167 0.25 83.25 0.7262 1.69875
  168 0.25 83.75 0.6866 1.60037
  169 0.25 84.25 0.7094 1.46933
  170 0.25 84.75 0.6618 1.20206
  171 0.25 85.25 0.662 1.17687
  172 0.25 85.75 0.6534 1.14408
  173 0.25 86.25 0.7228 1.34976
  174 0.25 86.75 0.7372 1.301
  175 0.25 87.25 0.7808 1.4685
  176 0.25 87.75 0.765 1.57426
  177 0.25 88.25 0.681 1.51339
  178 0.25 88.75 0.5536 1.00459
  179 0.25 89.25 0.6154 0.980924
  180 0.25 89.75 0.8324 1.26052
  181 0.25 90.25 1.112 1.81481
  182 0.25 90.75 0.9718 1.81346
  183 0.25 91.25 0.3122 0.323279
  184 0.25 91.75 0.1548 0.108895
  185 0.25 92.25 0.0782 0.0977757
  186 0.25 92.75 0.0426 0.0619499
  187 0.25 93.25 0.0334 0.0545861
  188 0.25 93.75 0.0182 0.00671692
  189 0.25 94.25 0.0062 0.00337512
  190 0.25 94.75 0.0002 4.46326e-05
  191 0.25 95.25 0.0002 4.46326e-05
  192 0.25 95.75 0 0
  193 0.25 96.25 0 0
  194 0.25 96.75 0 0
  195 0.25 97.25 0 0
  196 0.25 97.75 0 0
  197 0.25 98.25 0 0
  198 0.25 98.75 0 0
  199 0.25 99.25 0 0
  200 0.25 99.75 0 0
