# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 -126.864 -142.108 -821.448
1 -119.086 -109.498 -831.97
2 -115.511 -74.0562 -845.383
3 -116.937 -34.2299 -862.584
4 -122.912 10.6993 -883.8
5 -132.297 60.8719 -907.414
6 -143.134 115.855 -930.864
7 -153.079 175.106 -950.318
8 -159.423 237.316 -962.009
9 -159.916 300.987 -963.108
10 -152.162 364.681 -951.61
11 -134.787 426.868 -927.928
12 -107.304 485.56 -894.01
13 -69.9557 539.057 -853.73
14 -24.2486 585.978 -811.677
15 27.2825 625.118 -772.373
16 81.6852 656.819 -738.531
17 135.925 681.672 -711.592
18 187.095 700.74 -690.545
19 232.986 715.194 -673.509
20 271.891 725.915 -657.691
21 302.329 732.436 -640.303
22 323.68 734.198 -618.08
23 336.439 730.406 -587.789
24 341.943 720.957 -547.333
25 342.309 706.687 -495.332
26 340.585 689.603 -431.841
27 339.721 672.339 -358.71
28 342.393 657.329 -279.304
29 350.109 646.144 -197.981
30 363.297 638.743 -119.089
31 380.776 633.845 -46.1161
32 400.377 628.926 17.9909
33 419.039 621.619 71.3229
34 433.714 610.416 112.526
35 441.674 594.817 141.237
36 441.215 575.282 157.971
37 432.098 553.166 164.581
38 415.043 530.095 163.994
39 392.408 507.846 160.289
40 366.507 487.985 157.404
41 339.648 471.373 158.791
42 312.957 458.308 165.611
43 286.913 448.189 176.786
44 260.883 439.727 189.087
45 233.964 431.084 198.118
46 205.62 420.554 199.58
47 175.691 407.233 190.334
48 144.456 390.547 169.323
49 112.475 371.066 137.417
50 80.1612 349.612 96.9701
51 48.8135 327.755 51.0051
52 20.5135 307.124 2.27014
53 -2.14834 288.718 -47.0702
54 -15.8469 272.995 -95.6691
55 -17.8282 259.417 -141.772
56 -6.09041 246.697 -183.564
57 19.2183 233.284 -219.211
58 56.5242 217.199 -246.096
59 102.464 197.531 -262.071
60 152.748 173.897 -265.301
61 202.972 147.674 -255.614
62 248.936 120.209 -234.233
63 287.533 93.4855 -204.725
64 316.724 68.607 -172.102
65 335.799 46.3708 -143.236
66 345.306 27.1373 -125.395
67 346.504 10.9686 -124.87
68 341.17 -2.16317 -145.483
69 331.741 -11.9775 -188.088
70 320.987 -18.7004 -250.454
71 311.593 -22.29 -327.457
72 305.857 -23.7255 -413.624
