# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 240.593 242.702 -281.92
1 255.082 241.243 -320.495
2 275.686 248.868 -356.64
3 299.633 264.849 -388.285
4 324.102 287.436 -414.025
5 346.03 314.533 -432.571
6 363.085 343.999 -443.458
7 373.526 373.495 -446.178
8 376.285 401.233 -441.261
9 371.501 425.465 -429.439
10 360.212 444.81 -412.428
11 343.803 458.346 -392.334
12 324.6 465.485 -371.599
13 304.876 466.791 -353.019
14 286.363 462.26 -338.867
15 270.418 452.739 -331.314
16 257.683 438.765 -331.939
17 248.064 420.772 -341.305
18 240.761 399.491 -359.306
19 235.286 375.799 -385.282
20 230.62 350.618 -417.869
21 226.125 325.283 -455.745
22 221.802 301.078 -497.356
23 217.507 279.538 -540.456
24 213.252 261.6 -583.161
25 208.339 248.462 -622.568
26 201.596 240.717 -656.113
27 191.165 238.764 -681.326
28 175.041 242.692 -695.933
29 151.394 252.036 -698.567
30 119.238 265.67 -689.283
31 78.5753 282.252 -669.481
32 30.7418 300.498 -641.3
33 -22.0113 319.092 -607.906
34 -76.534 337.082 -572.544
35 -129.137 354.161 -537.997
36 -176.734 370.589 -506.765
37 -216.368 386.855 -480.204
38 -246.52 403.714 -459.036
39 -266.954 421.798 -443.207
40 -278.96 440.929 -431.96
41 -285.455 460.531 -423.874
42 -290.064 479.681 -416.96
43 -296.664 497.412 -409.132
44 -308.69 513.007 -398.188
45 -328.33 526.548 -382.803
46 -356.604 538.326 -361.999
47 -393.105 549.228 -335.813
48 -435.986 559.657 -305.145
49 -482.808 569.709 -271.409
50 -530.241 578.588 -235.941
51 -575.171 585.09 -200.496
52 -614.604 588.198 -165.939
53 -646.557 587.384 -133.067
54 -670.198 583.029 -102.373
55 -685.16 576.408 -74.7286
56 -692.737 569.763 -50.7112
57 -694.366 565.545 -30.7174
58 -691.434 566.085 -15.2253
59 -684.898 572.523 -4.23283
60 -674.871 584.578 2.6449
61 -660.27 600.712 5.94717
62 -639.922 618.251 6.98861
63 -612.601 633.329 6.77837
64 -577.636 642.779 6.73674
65 -535.456 644.301 7.57792
66 -487.795 636.702 10.051
67 -437.245 620.2 14.4921
68 -386.786 595.796 21.0944
69 -339.175 564.91 30.0798
70 -296.506 528.985 41.4032
71 -259.705 489.054 54.5797
72 -228.461 445.651 68.7662
73 -201.576 399.563 82.4943
74 -177.181 351.798 94.0151
75 -153.341 303.361 101.611
76 -128.783 255.299 103.793
77 -102.565 208.52 99.7466
78 -74.7029 164.011 89.8275
79 -46.2405 121.77 75.4143
80 -18.3943 81.642 58.9056
81 6.99842 42.8527 43.0659
82 28.598 4.21954 30.8484
83 45.47 -34.9702 24.0541
84 57.3052 -75.5022 23.9219
85 64.649 -117.103 30.1967
86 68.2964 -159.243 41.836
87 69.4389 -200.938 57.4245
88 68.7508 -241.19 75.5472
89 66.982 -279.075 94.9912
90 64.173 -314.248 114.817
91 60.2298 -346.449 134.656
92 54.2627 -375.747 154.056
93 45.523 -402.282 172.162
94 33.5114 -425.656 188.602
95 18.0986 -445.363 202.957
96 -0.00175794 -460.236 214.354
97 -19.6773 -468.953 222.18
98 -39.6511 -470.152 226.034
99 -58.7177 -462.885 225.517
100 -76.1494 -446.172 220.417
101 -91.0405 -419.888 210.447
102 -103.031 -384.494 195.739
103 -111.687 -340.887 176.911
104 -116.685 -290.511 154.453
105 -117.471 -235.109 129.133
106 -113.539 -176.75 102.052
107 -104.284 -117.756 74.2889
108 -89.7045 -60.5084 47.2623
109 -70.1709 -7.53034 22.6456
110 -45.8545 39.2472 2.49308
111 -17.5836 78.6328 -11.2824
112 13.8959 110.066 -17.2316
113 47.6128 133.999 -15.1757
114 82.7377 151.234 -5.75731
115 118.266 163.326 8.52572
116 153.24 171.671 23.6477
117 186.445 177.008 35.5469
118 216.826 180.142 39.8301
119 243.739 181.23 33.3696
120 266.818 180.265 15.0559
121 286.165 177.557 -14.4918
122 302.256 173.624 -52.9557
123 315.212 169.09 -97.1162
124 325.636 164.191 -143.133
125 333.26 159.064 -187.52
126 338.237 153.267 -227.132
127 340.437 146.425 -259.784
128 339.933 138.005 -283.977
129 337.312 127.822 -299.095
130 333.363 116.416 -305.949
131 329.458 104.174 -306.022
132 326.701 91.6189 -301.46
133 326.107 79.3341 -295.068
134 327.475 68.0556 -289.268
135 329.666 58.4965 -286.084
136 330.965 51.5923 -286.64
137 328.97 47.5968 -291.149
138 321.443 46.5506 -298.874
139 306.35 47.8929 -308.382
140 282.692 50.3351 -318.287
141 250.181 52.1376 -326.963
142 209.211 51.3446 -332.922
143 161.142 46.103 -334.955
144 107.657 34.922 -332.239
145 50.6774 16.931 -324.053
146 -7.42634 -7.58603 -309.776
147 -64.3131 -37.5397 -289.422
148 -118.328 -70.9757 -262.828
149 -168.157 -105.147 -230.755
150 -213.466 -137.764 -194.187
151 -254.953 -166.836 -154.69
152 -293.55 -191.299 -114.128
153 -330.98 -210.786 -74.5258
154 -368.63 -226.032 -37.6982
155 -408.227 -238.194 -5.5157
156 -449.967 -248.753 20.4536
157 -493.976 -259.695 38.7794
158 -539.304 -272.208 48.9145
159 -584.607 -287.376 50.8217
160 -628.086 -305.766 45.4027
161 -667.617 -327.294 34.5536
162 -701.187 -351.269 20.7734
163 -726.968 -376.47 6.64183
164 -743.35 -400.986 -5.4616
165 -748.878 -422.898 -14.2521
166 -742.687 -440.263 -19.2162
167 -724.294 -451.732 -20.8927
168 -693.823 -456.392 -20.5093
169 -652.258 -453.715 -19.1175
170 -601.355 -443.651 -17.9718
171 -543.105 -426.331 -17.6083
172 -479.625 -402.514 -18.1503
173 -413.155 -373.508 -19.038
174 -346.21 -341.607 -19.4832
175 -280.967 -309.772 -18.2468
176 -219.515 -281.803 -14.3477
177 -163.952 -261.286 -7.25423
178 -115.644 -251.115 2.80877
179 -75.1394 -252.974 15.9684
180 -41.8568 -266.939 31.7372
181 -14.2596 -291.406 50.0307
182 9.40811 -323.7 70.7852
183 30.8478 -360.361 93.7478
