# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 287.921 -233.028 -148.967
1 285.715 -201.723 -148.06
2 278.904 -166.342 -147.578
3 268.393 -129.088 -147.51
4 255.046 -92.2101 -148.018
5 239.864 -58.3844 -149.888
6 223.717 -28.9027 -154.211
7 207.328 -4.21423 -162.918
8 191.348 16.1559 -177.739
9 176.161 33.8356 -199.903
10 162.293 51.1792 -230.044
11 150.251 70.2142 -267.73
12 140.059 92.4781 -311.07
13 132.038 118.724 -357.416
14 125.975 147.919 -403.296
15 121.304 178.728 -445.019
16 116.572 208.935 -479.484
17 109.984 236.613 -504.297
18 99.6544 260.246 -518.568
19 83.5199 279.506 -522.696
20 60.6816 294.664 -518.167
21 30.7854 306.802 -507.103
22 -5.29223 316.847 -491.921
23 -45.9819 325.863 -474.846
24 -89.1752 334.966 -457.525
25 -131.901 344.756 -441.139
26 -171.297 355.989 -426.185
27 -204.074 369.131 -413.108
28 -227.068 384.817 -401.976
29 -238.017 403.147 -393.448
30 -235.494 423.773 -387.849
31 -218.932 445.84 -386
32 -189.359 468.095 -389.075
33 -148.3 488.86 -397.74
34 -97.9855 507.004 -412.727
35 -40.8458 521.448 -433.652
36 20.1903 531.753 -459.777
37 81.9721 538.217 -489.04
38 140.994 541.582 -518.657
39 194.215 542.665 -544.74
40 239.071 541.695 -563.278
41 274.216 538.758 -570.553
42 299.521 533.613 -563.618
43 316.034 525.378 -540.588
44 325.774 512.982 -501.438
45 331.225 495.263 -447.996
46 334.943 471.45 -383.406
47 338.98 440.989 -311.662
48 344.938 403.972 -237.394
49 353.508 361.503 -165.133
50 364.619 315.07 -99.5295
51 377.656 266.284 -44.3836
52 391.955 217.131 -3.1282
53 406.643 168.923 21.5936
54 420.866 122.835 28.3645
55 433.756 79.3974 17.0482
56 444.305 38.5319 -11.2333
57 451.53 0.501881 -53.6797
58 455.131 -34.8097 -106.342
59 454.843 -67.399 -164.274
60 451.297 -96.8987 -221.947
61 445.368 -122.824 -273.965
62 438.028 -144.886 -315.742
63 430.105 -162.656 -344.61
64 421.667 -175.793 -359.352
65 412.368 -184.515 -360.86
66 401.503 -188.857 -350.697
67 388.633 -188.95 -331.227
68 373.88 -185.103 -304.58
69 358.176 -177.875 -272.346
70 342.993 -168.206 -235.727
71 329.819 -157.428 -195.778
72 320.404 -147.602 -153.618
73 315.444 -140.347 -110.572
74 314.873 -137.515 -68.8102
75 317.478 -140.112 -30.5588
76 321.786 -148.858 1.9679
77 326.172 -163.371 26.6889
78 329.197 -183.17 42.2048
79 329.829 -207.35 47.7474
80 327.523 -235.08 43.0159
81 322.013 -265.733 28.6275
82 313.43 -298.64 5.47356
83 302.222 -333.772 -24.6848
84 289.063 -370.753 -59.4398
85 275.363 -409.038 -96.6258
86 262.761 -448.163 -133.277
87 253.167 -487.108 -167.097
88 247.901 -524.583 -195.848
89 247.956 -559.107 -217.725
90 253.42 -589.049 -231.728
