# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 -854.449 -180.265 -100.342
1 -841.499 -151.723 -104.107
2 -829.504 -122.07 -106.242
3 -817.636 -93.2051 -109.405
4 -805.528 -66.2614 -115.825
5 -793.326 -42.231 -127.273
6 -781.439 -22.0963 -144.729
7 -770.706 -6.38757 -168.23
8 -762.321 4.21687 -195.988
9 -757.098 9.17592 -225.167
10 -755.221 7.52872 -252.082
11 -756.581 -1.07657 -272.53
12 -760.418 -17.0488 -282.849
13 -765.065 -39.8698 -280.632
14 -768.744 -68.4226 -264.601
15 -769.561 -101.212 -234.921
16 -765.605 -135.554 -192.916
17 -755.828 -168.574 -141.14
18 -740.148 -197.223 -82.4682
19 -719.32 -218.321 -19.9327
20 -695.014 -229.39 42.9273
21 -669.677 -229.103 103.431
22 -645.693 -216.896 158.791
23 -625.309 -193.659 206.856
24 -609.632 -161.225 246.117
25 -599.005 -122.278 275.083
26 -592.76 -79.543 293.369
27 -589.727 -35.5774 300.894
28 -588.877 7.85839 298.921
29 -589.255 49.2213 289.42
30 -590.623 87.9131 275.097
31 -593.21 123.129 258.617
32 -597.657 153.835 242.508
33 -604.534 178.871 228.739
34 -613.441 197.419 218.356
35 -623.293 208.691 211.744
36 -632.128 212.421 207.896
37 -637.203 209.044 205.752
38 -635.25 199.402 203.725
39 -623.679 185.105 200.467
40 -600.724 167.94 194.42
41 -565.796 149.597 184.982
42 -519.778 131.96 171.63
43 -465.055 116.748 154.584
44 -404.61 105.242 134.233
45 -341.724 98.0838 111.383
46 -279.342 95.4894 87.331
47 -219.572 96.9713 63.1203
48 -163.837 101.491 40.2444
49 -112.509 107.641 19.4352
50 -65.7605 114.325 1.55392
51 -23.6292 120.225 -13.4162
52 13.4182 124.442 -26.0726
53 44.8787 126.135 -36.8134
54 69.7025 125.278 -46.4441
55 87.3515 121.973 -55.5174
56 97.5914 116.926 -64.2269
57 100.59 111.114 -72.4231
58 96.9593 105.732 -79.8019
59 87.1684 101.904 -85.6356
60 72.0143 100.338 -89.556
61 52.2947 101.653 -91.1169
62 29.2767 106.163 -90.0684
63 4.55964 113.826 -86.4756
64 -19.6549 124.891 -81.0052
65 -40.9161 139.298 -74.1289
66 -56.7801 157.326 -66.2087
67 -65.2981 178.532 -57.7719
68 -65.3951 203.134 -48.7863
69 -57.2145 230.648 -39.1408
70 -41.5103 260.683 -28.7525
71 -19.4236 292.694 -17.4544
72 7.62642 325.63 -5.64684
73 38.7057 358.005 6.35645
74 72.1628 388.226 17.5937
75 106.555 414.798 27.2201
76 140.135 436.399 34.2099
77 170.845 451.858 37.3604
78 196.649 460.902 35.8328
79 215.729 463.216 29.19
80 226.89 458.916 17.7741
81 229.214 448.045 2.28653
82 223.644 430.867 -15.7367
83 211.236 408.064 -34.4624
84 193.702 380.009 -52.9013
85 173.146 348.293 -70.1068
86 151.473 314.356 -86.0362
87 130.181 280.194 -101.595
88 110.337 247.66 -117.58
89 92.8424 218.43 -135.051
90 78.0612 193.574 -154.552
91 66.5957 173.523 -175.526
92 58.9634 157.814 -197.512
93 55.3895 145.452 -219.021
94 56.4484 135.08 -238.121
95 62.1706 125.623 -253.363
96 72.5523 116.457 -263.529
97 87.5183 107.428 -267.737
98 106.42 98.5783 -265.623
99 128.636 90.1695 -257.473
100 153.341 82.4048 -243.446
101 179.927 75.1167 -224.176
102 207.553 68.2654 -199.731
103 235.747 62.0176 -170.295
104 263.82 55.9412 -135.618
105 291.444 49.9533 -95.7457
106 318.076 44.0399 -50.6247
107 343.344 37.9874 -1.01588
108 367.143 31.3296 51.68
109 389.486 23.9685 105.071
110 410.678 15.7334 156.077
111 430.907 6.38599 201.755
112 450.391 -4.32756 239.136
113 468.983 -16.9319 266.863
114 486.303 -31.7142 284.461
115 501.212 -48.52 293.437
116 513.25 -66.9576 296.5
117 521.545 -85.4038 296.645
118 526.075 -101.986 296.651
119 526.838 -114.514 297.993
120 524.563 -121.403 301.253
121 520.023 -121.746 306.131
122 513.762 -115.696 311.58
123 506.08 -104.495 316.622
124 496.623 -90.0238 320.695
125 484.781 -74.312 323.199
126 470.121 -59.3087 323.917
127 452.491 -46.3442 322.875
128 432.083 -36.3537 320.492
129 410.13 -29.6199 317.309
130 387.984 -26.3082 314.727
131 367.442 -25.8303 313.727
132 350.155 -28.0012 315.214
133 337.469 -32.1043 319.194
134 329.576 -37.3365 324.768
135 326.728 -43.3026 330.327
136 328.418 -49.7558 333.473
137 333.76 -56.7783 331.831
138 342.333 -64.5976 323.137
139 353.914 -73.1182 306.292
140 368.503 -81.8731 281.432
141 385.895 -89.6285 250.341
142 406.576 -94.8351 216.155
143 430.038 -95.7798 183.02
144 455.73 -90.7608 154.693
145 482.217 -78.6859 134.115
146 507.945 -59.4638 122.554
147 530.761 -34.1815 119.4
148 549.225 -4.46202 122.702
149 562.177 27.3005 129.523
150 569.428 59.0094 136.545
151 572.189 88.718 140.909
152 571.666 114.776 140.321
153 569.436 136.116 133.202
154 567.436 152.21 118.637
155 566.907 162.87 96.9739
156 568.627 168.159 68.7105
157 572.499 168.648 35.4797
158 578.351 165.094 -0.685053
159 585.034 158.331 -36.9406
160 590.865 149.383 -70.2896
161 594.248 139.137 -97.4766
162 593.679 128.801 -115.695
163 588.369 119.69 -123.372
164 578.095 113.313 -120.061
165 563.641 111.448 -106.125
166 546.254 115.943 -83.5969
167 527.413 128.093 -55.2274
168 508.693 148.833 -24.4565
169 491.305 178.509 4.83805
170 475.935 216.829 29.2452
171 462.978 262.067 45.8184
172 452.334 312.027 52.5904
173 443.506 363.815 48.4529
174 436.122 413.665 33.4261
175 429.337 458.289 8.67173
176 422.78 494.674 -24.0326
177 415.663 520.648 -62.0963
178 407.809 535.678 -102.525
179 398.532 540.288 -141.723
180 387.596 535.922 -176.874
181 374.605 524.949 -205.1
182 359.171 509.825 -224.561
183 341.204 492.725 -234.63
184 320.325 475.918 -236.427
185 297.15 461.23 -232.122
186 271.917 450.428 -225.021
187 245.741 444.731 -218.507
188 219.557 445.3 -215.613
189 194.374 452.266 -218.245
190 170.903 465.278 -227.148
191 149.5 482.879 -241.835
192 130.201 503.145 -260.761
193 112.365 523.269 -282.097
194 95.4749 540.121 -303.596
195 79.5344 550.611 -323.421
196 64.1978 552.236 -339.589
197 49.6277 543.65 -350.299
198 36.5055 525.074 -354.155
199 25.065 498.365 -349.849
200 15.8928 466.664 -336.861
201 9.46277 433.698 -315.538
202 6.03845 402.985 -287.08
203 5.85503 377.125 -253.328
204 8.94254 357.803 -216.717
205 14.7199 345.477 -179.395
206 22.5167 340.242 -142.784
207 31.0292 341.679 -107.374
208 38.4672 349.161 -72.8613
209 43.3961 361.395 -38.9387
210 44.5884 377.191 -4.85914
211 41.0499 394.33 29.5369
212 32.0494 410.446 63.4627
213 17.454 422.36 95.9144
214 -2.61839 427.09 124.963
215 -27.5902 422.297 148.584
216 -56.5805 406.307 164.826
217 -88.299 378.981 172.733
218 -120.986 342.051 171.651
219 -152.755 298.455 162.398
220 -182.039 251.806 146.511
221 -207.581 205.755 126.075
222 -228.706 163.342 103.594
223 -245.197 126.374 81.6344
224 -257.451 95.3928 62.402
225 -265.844 69.9849 47.3104
226 -270.62 48.7936 37.0034
227 -271.807 29.9235 31.8164
228 -268.691 11.4438 30.8787
229 -260.76 -8.54008 32.9461
230 -247.404 -31.8089 36.3749
231 -228.692 -59.1905 39.3662
232 -205.34 -91.1224 39.8515
233 -178.98 -127.032 36.079
234 -151.912 -165.462 26.6911
235 -127.236 -204.604 10.885
236 -107.951 -242.287 -11.2108
237 -97.2562 -276.473 -38.5383
238 -97.7727 -305.431 -69.8942
239 -111.156 -327.993 -103.152
240 -138.089 -344.219 -136.984
241 -177.718 -355.152 -169.919
242 -227.925 -362.17 -201.494
243 -285.431 -367.21 -231.789
244 -346.377 -371.71 -261.129
245 -406.608 -376.377 -289.948
246 -462.453 -381.465 -318.678
247 -510.484 -386.059 -347.013
248 -548.642 -389.765 -374.427
249 -575.689 -391.882 -399.513
250 -591.576 -392.642 -421.342
251 -596.724 -393.258 -438.798
252 -592.195 -395.228 -451.338
253 -579.169 -400.264 -458.878
254 -559.003 -409.233 -461.945
255 -533.616 -422.058 -461.971
256 -504.665 -437.173 -460.558
257 -474.193 -452.516 -459.232
258 -444.75 -465.794 -459.21
259 -418.097 -475.189 -461.272
260 -395.577 -480.125 -465.354
261 -377.538 -481.549 -470.654
262 -363.775 -480.848 -475.477
263 -353.334 -479.935 -478.061
264 -345.409 -480.274 -476.68
265 -339.333 -482.788 -469.968
266 -334.802 -487.568 -457.428
267 -331.497 -494.161 -439.518
268 -329.337 -502.057 -417.156
269 -327.601 -510.761 -392.297
270 -325.217 -519.556 -366.645
271 -320.409 -528.347 -342.181
272 -311.361 -536.629 -320.25
273 -296.182 -543.67 -302.116
274 -273.911 -548.188 -288.553
275 -244.405 -549.235 -279.491
276 -208.545 -545.44 -274.712
277 -168.04 -536.089 -273.439
278 -125.443 -520.951 -274.023
279 -83.1932 -500.377 -274.93
280 -43.7938 -475.603 -274.192
281 -9.48712 -448.75 -269.608
282 18.2801 -421.927 -259.53
283 38.5757 -398.146 -242.287
284 51.2596 -379.783 -217.17
285 56.8713 -368.343 -183.977
286 57.0833 -364.602 -143.494
287 53.8232 -368.405 -96.9058
288 49.435 -378.028 -45.9163
289 46.215 -391.309 7.24653
290 46.5724 -405.476 60.1485
291 51.3449 -417.975 109.916
292 61.3338 -426.947 153.618
293 76.2968 -431.314 188.311
294 95.1019 -430.989 211.56
295 116.266 -425.965 222.401
296 137.921 -416.902 220.897
297 158.09 -404.248 208.447
298 174.983 -388.629 187.952
299 187.7 -371.165 163.135
300 195.475 -353.057 138.001
301 198.695 -336.098 116.232
302 198.472 -321.868 100.98
303 195.996 -311.94 94.2268
304 192.615 -307.392 96.9128
305 189.596 -307.746 109.061
306 187.326 -312.066 129.892
307 186.066 -318.286 158.246
308 185.798 -323.677 192.35
309 186.527 -325.463 230.475
310 187.711 -321.389 270.265
311 189.386 -310.001 309.208
312 191.007 -290.924 344.916
313 192.701 -264.777 375.024
314 194.178 -232.617 397.858
315 195.109 -196.181 412.338
316 195.106 -156.82 418.046
317 193.314 -116.037 414.767
318 189.327 -75.0353 402.053
319 183.384 -34.781 379.913
320 175.87 3.42037 348.194
321 167.81 38.5886 306.633
322 161.072 69.1464 255.482
323 157.642 93.8213 195.552
324 158.837 110.724 128.644
325 165.2 118.772 57.5053
326 176.403 116.93 -14.282
327 191.894 105.231 -82.4793
328 210.883 84.6612 -142.756
329 232.27 57.3406 -191.573
330 255.268 26.638 -225.911
331 279.047 -3.54872 -244.903
332 302.151 -29.7334 -248.621
333 322.678 -48.7113 -238.876
