# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 273.272 -32.3472 469.46
1 261.313 -50.7904 508.629
2 241.184 -68.3944 546.623
3 212.164 -83.2921 581.967
4 173.358 -93.636 612.917
5 123.875 -98.6115 637.458
6 63.2076 -98.5988 653.209
7 -7.78097 -95.3348 657.993
8 -86.2236 -90.6843 648.967
9 -167.284 -86.5255 623.684
10 -244.852 -83.5613 580.287
11 -312.625 -81.2524 518.657
12 -366.158 -78.5175 441.362
13 -402.781 -74.7884 353.818
14 -422.82 -70.2485 262.674
15 -427.398 -65.6221 174.738
16 -418.858 -61.9283 95.772
17 -400.043 -59.7153 29.5284
18 -373.969 -59.266 -22.8172
19 -343.384 -60.6928 -61.7733
20 -310.395 -64.3291 -89.0745
21 -276.43 -70.8718 -106.297
22 -242.341 -80.6813 -114.925
23 -208.827 -92.7836 -115.144
24 -177.12 -105.627 -106.924
25 -148.445 -116.721 -90.6387
26 -124.711 -123.774 -67.3507
27 -107.805 -125.541 -38.3411
28 -99.0411 -121.416 -6.29214
29 -98.5718 -112.301 26.0661
30 -104.915 -100.063 55.5483
31 -114.968 -87.5979 78.8056
32 -124.692 -78.3118 92.9409
33 -129.793 -75.7302 96.0044
34 -126.96 -82.8572 87.8519
35 -114.371 -101.35 69.2974
36 -91.4639 -131.803 42.4042
37 -59.2663 -173.015 9.76444
38 -19.8029 -222.942 -26.1784
39 24.1343 -277.97 -63.8465
40 69.2228 -334.324 -101.386
41 112.167 -387.622 -137.392
42 149.92 -434.036 -170.323
43 179.703 -470.303 -198.362
44 199.24 -495.097 -219.271
45 207.313 -508.23 -230.682
46 203.261 -511.336 -230.659
47 187.854 -506.976 -218.322
48 162.415 -497.639 -194.153
49 129.149 -485.241 -160.21
50 91.3362 -471.254 -120.065
51 52.4245 -456.068 -78.0199
52 16.1819 -439.701 -39.1081
53 -13.2648 -421.444 -7.87619
54 -32.2282 -401.403 11.854
55 -38.0421 -379.066 17.5981
56 -29.5651 -354.524 8.25403
57 -8.04218 -327.526 -15.811
58 23.158 -298.581 -52.8346
59 58.8227 -268.244 -100.359
60 93.8809 -238.101 -155.214
61 123.484 -209.71 -214.308
62 144.999 -184.609 -274.201
63 157.788 -164.193 -331.271
64 163.251 -149.004 -382.316
65 164.018 -138.664 -424.642
66 163.259 -131.898 -456.095
67 163.478 -126.45 -475.705
68 166.016 -120.469 -483.085
69 170.886 -112.315 -478.313
70 177.21 -101.243 -462.05
71 183.816 -87.5666 -435.529
72 189.77 -72.1194 -400.301
73 194.512 -57.2445 -358.554
74 198.269 -44.9146 -312.805
75 201.598 -37.0535 -265.811
76 205.316 -34.5688 -219.78
77 210.119 -37.9055 -175.81
78 216.536 -46.6798 -134.305
79 225.075 -60.2391 -94.671
80 235.532 -77.8958 -56.5131
81 247.002 -98.708 -19.8767
82 257.744 -122.066 13.8303
83 265.312 -147.19 43.0209
84 267.641 -173.867 65.1193
85 263.006 -201.648 78.1558
86 250.363 -229.981 81.5989
87 230.203 -259.095 77.0073
88 203.484 -288.574 68.2741
89 171.98 -318.158 60.8477
90 137.615 -347.453 60.9614
91 101.611 -375.683 73.5206
92 64.8562 -401.983 101.834
93 27.8747 -425.052 146.858
94 -9.31698 -443.438 207.685
95 -46.5064 -456.035 281.678
96 -83.6891 -461.672 365.262
97 -120.49 -459.749 453.947
98 -156.8 -449.902 542.792
99 -192.437 -431.538 627.486
100 -227.616 -404.619 703.574
101 -262.848 -368.922 767.951
102 -298.4 -325.759 817.822
103 -334.231 -277.464 851.759
104 -370.383 -227.31 868.955
105 -406.688 -179.433 869.577
106 -442.257 -137.58 855.34
107 -476.542 -104.126 828.555
108 -508.774 -79.6606 792.384
