# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
201 161.761 14.5416 -430.99
202 198.09 10.4076 -470.576
203 223.463 6.78879 -503.463
204 240.051 3.22811 -526.902
205 251.223 0.0478555 -538.516
206 260.928 -2.3999 -537.296
207 273.383 -3.50153 -523.602
208 292.309 -3.43916 -499.194
209 320.601 -2.23982 -467.157
210 359.181 -1.13794 -431.578
211 407.796 -1.66801 -397.485
212 464.661 -5.06704 -369.209
213 526.634 -11.907 -350.376
214 590.423 -21.2452 -343.007
215 652.019 -31.9132 -347.099
216 707.847 -42.2494 -361.118
217 755.36 -51.0525 -382.18
218 792.609 -58.0127 -406.105
219 819.044 -63.9326 -429.218
220 834.848 -70.6954 -448.344
221 840.653 -80.4704 -462.257
222 837.176 -95.8247 -471.279
223 825.273 -117.668 -477.102
224 805.855 -145.966 -481.687
225 780.264 -177.664 -485.982
226 750.409 -207.976 -489.696
227 718.872 -231.296 -491.171
228 688.876 -242.395 -488.018
229 663.485 -238.227 -478.653
230 645.594 -217.885 -462.298
231 637.054 -182.857 -439.741
232 638.446 -136.764 -413.041
233 649.578 -83.9345 -385.208
234 668.859 -28.9902 -359.455
235 693.777 23.3991 -339.18
236 721.057 68.5676 -327.433
237 747.35 102.85 -326.348
238 770.074 123.062 -336.501
239 787.684 127.923 -356.998
240 800.178 117.592 -384.765
241 808.03 93.9757 -416.668
242 812.541 60.5396 -448.421
243 814.919 21.4578 -476.993
244 815.654 -19.11 -500.301
245 815.011 -56.9382 -517.388
246 813.277 -88.3135 -528.157
247 810.903 -110.489 -532.904
248 808.988 -121.83 -532.13
249 809.105 -121.676 -526.743
250 813.329 -110.818 -517.447
251 823.745 -91.2479 -505.864
252 841.645 -65.3031 -493.878
253 867.131 -35.8534 -483.747
254 898.421 -5.47096 -477.859
255 932.279 23.6491 -477.261
256 963.758 49.0716 -482.024
257 987.855 68.1893 -490.804
258 1000.47 78.6032 -500.494
259 999.322 77.8982 -506.527
260 984.395 63.8167 -504.594
261 957.588 34.6737 -490.954
262 921.715 -10.4176 -463.812
263 879.403 -71.0667 -423.128
264 832.94 -145.748 -370.829
265 783.409 -230.949 -310.033
266 731.6 -321.929 -244.635
267 678.269 -413.173 -177.995
268 624.35 -499.042 -113.329
269 571.571 -574.432 -52.9462
270 522.139 -634.917 2.22021
271 478.441 -676.997 52.2002
272 442.504 -698.273 97.5826
273 415.181 -697.383 140.142
274 396.057 -674.349 181.9
275 383.345 -631.008 225.157
276 373.936 -570.868 271.547
277 364.485 -499.091 322.192
278 351.768 -421.476 377.414
279 333.706 -344.131 436.761
280 309.12 -272.193 499.082
281 278.498 -209.123 563.056
282 243.249 -156.567 627.652
283 205.499 -114.032 691.423
284 167.743 -79.4051 753.104
285 132.128 -49.9504 811.378
286 101.011 -23.4132 864.828
287 75.9436 1.60034 911.41
288 58.5817 24.916 949.292
289 49.7208 44.8973 976.67
290 49.6044 59.9291 992.316
291 57.9399 67.8154 995.837
292 74.2442 67.1232 987.653
293 98.3292 57.4159 968.831
294 130.144 38.9613 941.322
295 170.155 12.5343 906.576
296 218.981 -20.7815 865.832
297 276.07 -60.982 819.728
298 340.869 -108.846 769.207
299 411.239 -165.434 714.707
300 485.04 -231.618 657.513
301 559.677 -306.842 598.972
302 632.769 -389.154 540.642
303 702.806 -474.223 483.409
304 768.728 -557.063 427.87
305 829.731 -633.094 374.16
306 885.007 -697.727 322.053
307 933.49 -748.306 271.792
308 974.472 -784.058 223.946
309 1007.55 -805.599 179.04
310 1033.22 -814.637 138.329
311 1053.3 -814.467 102.707
