# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 287.55 29.1376 30.5893
1 338.456 63.9268 22.5126
2 386.378 92 14.5988
3 431.908 114.286 6.38851
4 474.529 132.892 -3.37622
5 514.072 150.13 -16.5056
6 549.924 167.84 -34.5158
7 582.169 187.176 -58.284
8 610.806 208.372 -87.4082
9 636.077 230.508 -120.268
10 658.103 252.375 -154.178
11 676.915 272.572 -186.438
12 692.594 290.555 -214.575
13 704.834 306.184 -236.625
14 713.778 319.793 -251.754
15 719.227 331.491 -259.436
16 721.872 341.442 -259.67
17 721.677 348.876 -252.7
18 718.858 352.67 -238.814
19 713.438 351.657 -218.166
20 705.105 344.417 -191.725
21 693.638 330.439 -160.286
22 678.364 309.636 -124.747
23 659.169 282.601 -86.711
24 636.324 250.815 -47.9535
25 610.943 215.971 -10.4043
26 584.996 180.237 24.1278
27 560.784 145.595 53.9253
28 540.394 114.176 77.8584
29 525.607 88.1633 95.741
30 517.439 69.3051 107.527
31 515.974 58.7349 113.945
32 520.444 57.2318 115.923
33 529.18 64.3511 114.602
34 540.257 78.9577 110.735
35 550.912 98.9711 105.422
36 558.733 121.822 99.478
37 561.293 144.607 93.7783
38 556.966 164.823 89.5025
39 544.772 179.845 87.9647
40 524.669 188.16 90.3376
41 497.766 188.945 97.3633
42 466.077 181.44 109.231
43 431.751 166.391 125.189
44 397.593 144.865 143.841
45 366.323 118.893 162.487
46 340.441 90.4554 178.249
47 321.557 62.0329 188.249
48 310.574 35.7678 190.167
49 307.026 13.9327 182.682
50 309.854 -1.61279 165.822
51 317.156 -9.21111 140.109
52 326.936 -7.22888 106.765
53 337.436 5.53451 67.2944
54 347.313 29.4696 23.1499
55 356.24 64.0397 -24.1277
56 364.061 107.441 -73.0255
57 371.232 157.033 -122.046
58 378.192 209.158 -169.822
59 384.754 259.893 -215.011
60 390.428 305.322 -257.262
61 394.633 342.023 -295.951
62 396.192 367.879 -331.192
63 394.283 381.834 -363.426
64 388.604 384.411 -393.271
65 379.128 377.098 -421.679
66 365.849 362.426 -449.875
67 349.531 343.287 -478.847
68 330.796 322.648 -509.471
69 310.329 302.628 -542.063
70 288.346 284.661 -576.994
71 265.54 269.031 -613.731
72 241.969 255.444 -651.282
73 217.992 243.112 -688.581
74 194.034 231.323 -724.182
75 170.36 219.331 -756.551
76 147.595 206.959 -784.505
77 125.815 194.5 -806.763
78 104.71 182.674 -822.563
79 83.6213 172.282 -831.952
80 61.5179 164.078 -835.165
81 37.4389 158.817 -833
82 10.7677 156.983 -826.523
83 -18.3655 158.884 -816.975
84 -48.9642 164.532 -805.555
85 -79.0793 173.339 -793.572
86 -106.604 184.822 -782.082
87 -129.228 197.817 -772.387
88 -145.028 211.425 -765.886
89 -153.367 225.225 -763.43
90 -154.201 238.539 -765.696
91 -148.376 251.37 -772.728
92 -137.111 263.492 -783.479
93 -122.161 274.534 -796.311
94 -105.426 284.127 -808.91
95 -88.8354 292.005 -819.252
96 -74.4909 298.092 -825.154
97 -64.2858 302.292 -825.446
98 -60.0537 304.96 -819.053
99 -63.4078 306.442 -805.917
100 -75.1897 306.793 -786.24
101 -95.8742 306.245 -760.111
102 -124.909 304.478 -728.105
103 -161.127 301.189 -690.988
104 -202.964 296.035 -649.608
105 -248.279 288.878 -605.032
106 -294.659 279.702 -558.161
107 -339.86 268.77 -510.421
108 -381.915 256.777 -462.986
109 -418.568 244.472 -417.127
110 -448.347 233.097 -374.065
111 -470.264 223.524 -334.656
112 -484.254 216.686 -300.038
113 -491.311 212.79 -271.626
114 -493.188 211.546 -250.595
115 -491.826 212.004 -238.11
116 -489.024 213.005 -234.804
117 -485.806 213.185 -240.025
118 -482.494 211.318 -253.205
119 -478.656 206.374 -271.965
120 -473.554 198.394 -293.867
121 -466.25 187.855 -315.968
122 -456.015 176.132 -335.335
123 -442.387 164.925 -349.379
124 -425.187 156.052 -355.916
