# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
196 -29.1508 -43.8423 -186.993
197 30.6807 -28.2242 -230.858
198 89.0231 -12.7701 -286.48
199 144.328 1.97202 -348.878
200 195.423 15.9863 -412.119
201 242.632 29.5422 -470.644
202 285.837 42.9503 -519.029
203 325.181 56.8719 -553.845
204 361.349 71.2255 -573.498
205 394.384 85.6694 -578.731
206 424.592 98.927 -571.904
207 452.688 109.635 -556.517
208 479.588 115.937 -536.843
209 505.914 116.655 -517.585
210 531.865 111.443 -502.61
211 556.704 100.904 -494.304
212 578.253 86.5553 -493.876
213 593.371 70.1984 -500.79
214 598.615 53.6061 -513.38
215 590.867 38.7787 -529.719
216 568.202 27.3309 -547.111
217 530.695 20.8821 -562.586
218 481.057 20.849 -573.768
219 423.076 27.2122 -577.948
220 361.792 39.526 -573.29
221 301.762 55.5955 -559.26
222 245.889 73.4431 -536.626
223 195.603 90.6587 -508.01
224 150.487 105.176 -477.809
225 109.14 115.729 -450.971
226 69.2698 121.824 -432.958
227 29.3018 123.996 -428.517
228 -12.4539 123.169 -440.466
229 -57.0082 120.601 -470.201
230 -105.19 116.674 -515.897
231 -157.79 110.791 -574.666
232 -215.004 102.297 -641.758
233 -277.265 89.7956 -712.029
234 -344.382 72.1831 -781.051
235 -415.179 48.8416 -845.07
236 -488.256 20.4053 -902.39
237 -560.899 -11.6201 -952.233
238 -630.308 -44.954 -995.333
239 -693.663 -76.8334 -1032.56
240 -748.92 -104.827 -1064.7
241 -794.655 -127.324 -1092.28
242 -831.469 -143.054 -1115.45
243 -860.223 -151.974 -1134.4
244 -882.829 -154.429 -1149.21
245 -901.331 -151.043 -1159.88
246 -917.588 -142.177 -1165.65
247 -932.881 -128.362 -1165.3
248 -947.843 -109.39 -1156.42
249 -962.608 -84.4049 -1136.09
250 -976.149 -52.8858 -1102.18
251 -987.599 -14.5195 -1053.1
252 -995.586 29.497 -988.679
253 -998.493 76.9286 -910.806
254 -994.39 124.337 -822.383
255 -981.666 168.171 -727.356
256 -959.894 205.027 -629.531
257 -929.772 232.495 -532.791
258 -893.095 249.629 -440.32
259 -853.076 256.33 -354.44
260 -812.744 253.728 -276.719
261 -775.128 243.496 -207.243
262 -741.893 227.032 -145.677
263 -713.531 205.67 -90.6169
264 -690.074 180.853 -39.8136
265 -670.698 154.124 9.0921
266 -654.746 127.829 59.2671
267 -642.114 104.642 112.018
268 -632.639 87.2739 168.3
269 -627.415 77.3059 226.725
270 -627.564 75.1485 285.123
271 -633.921 79.9221 340.286
272 -646.587 89.3053 388.991
273 -664.907 100.118 429.06
274 -687.044 109.357 460.018
275 -710.77 114.146 482.513
276 -732.704 113.658 498.461
277 -750.284 107.978 510.173
278 -760.56 98.1006 519.688
279 -760.978 85.7084 528.496
280 -750.623 71.9144 538.211
281 -728.655 57.1948 549.025
282 -695.239 41.646 561.011
283 -651.646 24.6681 573.502
284 -600.52 5.67942 586.448
285 -545.482 -15.9671 599.876
286 -490.707 -40.1869 614.147
287 -440.688 -66.5389 629.447
288 -399.191 -93.8059 646.542
289 -369.264 -120.239 665.32
290 -352.996 -143.473 685.773
291 -351.038 -161.837 707.023
292 -363.28 -173.463 728.011
293 -388.553 -177.799 747.559
294 -424.681 -174.644 764.121
295 -467.804 -165.243 776.132
296 -514.06 -151.191 782.03
297 -558.246 -134.956 780.374
298 -596.269 -119.212 770.15
299 -624.762 -106.999 750.668
300 -641.54 -100.783 721.537
301 -646.342 -102.022 683.729
302 -640.14 -110.755 637.852
303 -624.624 -125.872 585.152
304 -601.741 -144.929 527.012
305 -573.313 -164.93 464.268
306 -540.786 -183.493 397.876
307 -505.301 -197.965 328.836
308 -467.653 -207.042 258.393
309 -428.575 -210.089 187.484
310 -388.497 -207.006 117.119
311 -348.55 -198.044 48.4247
312 -309.834 -184.433 -18.0944
313 -273.713 -167.819 -81.9569
314 -241.264 -150.134 -143.503
315 -213.389 -133.905 -203.329
316 -189.653 -121.086 -262.514
317 -168.79 -112.701 -322.298
318 -148.129 -108.663 -383.015
319 -125.161 -107.876 -444.459
320 -96.8356 -108.176 -504.998
321 -61.0982 -107.231 -562.777
322 -17.6371 -102.904 -615.581
323 32.1039 -93.4253 -661.616
324 85.1557 -78.2592 -699.881
325 137.152 -57.7231 -730.097
326 184.352 -33.8748 -753.308
327 223.322 -9.99521 -771.385
328 251.554 10.1021 -786.378
329 268.056 22.8973 -800.952
330 273.107 25.4921 -816.781
331 268.188 16.7677 -834.694
332 255.099 -2.34104 -854.214
333 235.895 -28.9734 -874.277
334 211.347 -58.8642 -892.998
335 181.518 -88.369 -908.486
336 145.501 -114.339 -919.484
337 101.986 -135.396 -925.282
338 50.0947 -151.04 -925.758
339 -10.265 -162.07 -921.592
340 -77.9248 -169.135 -913.432
341 -150.771 -173.315 -902.207
342 -225.559 -175.46 -889.271
343 -298.818 -176.378 -876.115
344 -366.871 -175.846 -864.277
345 -427.141 -173.569 -855.268
346 -477.517 -169.618 -849.935
347 -516.982 -164.23 -848.926
348 -545.003 -157.431 -851.921
349 -562.389 -150.255 -858.23
350 -571.017 -144.032 -866.858
351 -572.926 -139.983 -876.601
352 -571.273 -139.068 -886.032
353 -568.169 -141.579 -893.084
354 -565.533 -147.21 -894.995
355 -563.415 -154.814 -888.611
356 -560.755 -162.55 -871.217
357 -555.541 -168.743 -841.325
358 -545.63 -172.247 -798.746
359 -529.745 -172.63 -745.663
360 -507.064 -170.83 -684.995
361 -477.671 -168.365 -620.146
362 -441.743 -166.508 -554.439
363 -400.213 -166.734 -489.977
364 -353.976 -169.876 -427.718
365 -304.614 -176.202 -367.971
366 -254.478 -185.564 -310.717
367 -206.065 -197.962 -255.712
368 -162.463 -212.851 -203.631
369 -126.857 -229.78 -155.904
370 -101.682 -248.098 -114.363
371 -88.7826 -267.231 -80.4782
372 -89.0997 -287.201 -55.2761
373 -102.566 -308.243 -39.2591
374 -127.382 -330.855 -32.0829
375 -161.279 -355.332 -32.9607
376 -200.428 -381.224 -40.712
377 -241.018 -407.972 -53.6866
378 -278.53 -434.222 -70.3288
379 -310.248 -458.424 -88.769
380 -333.891 -478.987 -106.882
381 -348.594 -495.238 -122.861
382 -354.314 -507.274 -134.925
383 -351.994 -517.075 -141.457
384 -342.531 -527.057 -141.675
385 -326.777 -540.975 -134.97
386 -305.866 -561.976 -121.724
387 -281.271 -592.51 -103.304
388 -253.802 -632.83 -80.921
389 -225.191 -681.832 -57.2438
390 -196.241 -736.961 -34.8813
391 -167.696 -795.142 -16.3507
392 -140.232 -852.418 -4.298
393 -114.41 -905.211 -0.077723
394 -90.8917 -950.825 -4.14678
395 -70.1887 -987.568 -15.3082
396 -52.6884 -1014.54 -31.5197
397 -38.2676 -1030.93 -49.6506
398 -26.1595 -1036.18 -66.2556
399 -15.2168 -1030 -78.3092
400 -3.8198 -1011.46 -83.6053
401 9.26218 -979.749 -81.1556
402 24.9372 -935.386 -71.179
403 43.6514 -879.171 -55.0324
404 65.4433 -813.63 -34.1448
405 90.9021 -741.647 -10.3915
406 120.67 -666.398 14.346
407 156.321 -590.456 38.6012
408 199.528 -515.463 60.7206
409 251.868 -442.197 79.669
410 313.954 -370.569 95.3385
411 385.004 -300.557 107.933
412 462.894 -232.079 118.684
413 544.276 -166.16 128.947
414 625.055 -104.25 139.657
415 701.192 -48.4867 151.861
416 768.617 -0.276384 166.206
417 824.134 39.4574 182.981
418 864.849 70.2016 202.334
419 889.139 92.2942 224.063
420 896.089 106.633 248.106
421 885.856 114.516 273.727
